year,status,source_column_count,normalized_column_count,source_header_signature,normalized_header_signature,error
2021,pass,14,14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,498e9803c39d6b5315658a5ff02d2438dcd273a351684216e17d8535d2472431,
2022,pass,14,14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,498e9803c39d6b5315658a5ff02d2438dcd273a351684216e17d8535d2472431,
2023,pass,14,14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,498e9803c39d6b5315658a5ff02d2438dcd273a351684216e17d8535d2472431,
2024,pass,14,14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,498e9803c39d6b5315658a5ff02d2438dcd273a351684216e17d8535d2472431,
2025,pass,14,14,ec79b223b778610bf55db46971f76a4fb5f4369a5f4f4e7ec3fdd10fa20bd2b3,498e9803c39d6b5315658a5ff02d2438dcd273a351684216e17d8535d2472431,
